epoch,train_loss,train_acc,val_loss,val_acc
145,0.0472,0.9852,0.1967,0.9550
146,0.0469,0.9853,0.1964,0.9551
147,0.0466,0.9854,0.1961,0.9552
148,0.0463,0.9855,0.1959,0.9553
149,0.0460,0.9856,0.1957,0.9554
150,0.0459,0.9857,0.1961,0.9553
151,0.0456,0.9857,0.1958,0.9554
152,0.0453,0.9858,0.1954,0.9555
153,0.0450,0.9859,0.1951,0.9556
154,0.0447,0.9860,0.1948,0.9557
155,0.0445,0.9861,0.1945,0.9558
156,0.0442,0.9862,0.1943,0.9559
157,0.0439,0.9863,0.1941,0.9560
158,0.0437,0.9863,0.1939,0.9561
159,0.0434,0.9864,0.1937,0.9562
160,0.0431,0.9865,0.1935,0.9563
161,0.0429,0.9866,0.1933,0.9564
162,0.0426,0.9867,0.1931,0.9565
163,0.0423,0.9868,0.1929,0.9566
164,0.0421,0.9868,0.1927,0.9567
165,0.0418,0.9869,0.1925,0.9568
166,0.0416,0.9870,0.1923,0.9569
167,0.0413,0.9871,0.1922,0.9569
168,0.0411,0.9872,0.1920,0.9570
169,0.0408,0.9872,0.1918,0.9571
170,0.0406,0.9873,0.1917,0.9572
171,0.0404,0.9874,0.1915,0.9573
172,0.0403,0.9874,0.1917,0.9573
173,0.0402,0.9875,0.1916,0.9573
174,0.0399,0.9875,0.1915,0.9573
175,0.0397,0.9876,0.1914,0.9574
176,0.0395,0.9877,0.1913,0.9574
177,0.0393,0.9877,0.1912,0.9575
178,0.0390,0.9878,0.1911,0.9575
179,0.0388,0.9879,0.1910,0.9575
180,0.0386,0.9879,0.1909,0.9576
181,0.0384,0.9880,0.1909,0.9576
182,0.0382,0.9881,0.1908,0.9577
183,0.0380,0.9881,0.1907,0.9577
184,0.0378,0.9882,0.1906,0.9577
185,0.0376,0.9883,0.1906,0.9578
186,0.0374,0.9883,0.1905,0.9578
187,0.0372,0.9884,0.1904,0.9578
188,0.0370,0.9885,0.1904,0.9579
189,0.0368,0.9885,0.1903,0.9579
190,0.0366,0.9886,0.1903,0.9579
191,0.0366,0.9886,0.1906,0.9580
192,0.0365,0.9886,0.1905,0.9580
193,0.0363,0.9887,0.1905,0.9580
194,0.0361,0.9887,0.1905,0.9580
195,0.0359,0.9888,0.1905,0.9580
196,0.0357,0.9888,0.1905,0.9580
197,0.0356,0.9889,0.1904,0.9581
198,0.0354,0.9890,0.1904,0.9581
199,0.0352,0.9890,0.1904,0.9581
200,0.0350,0.9891,0.1903,0.9581
201,0.0349,0.9891,0.1903,0.9581
202,0.0347,0.9892,0.1902,0.9582
203,0.0345,0.9892,0.1902,0.9582
204,0.0343,0.9893,0.1902,0.9582
205,0.0342,0.9893,0.1901,0.9582
206,0.0340,0.9894,0.1901,0.9582
207,0.0339,0.9894,0.1900,0.9583
208,0.0337,0.9895,0.1900,0.9583
209,0.0335,0.9895,0.1900,0.9583
210,0.0334,0.9896,0.1899,0.9583
211,0.0332,0.9896,0.1899,0.9584
212,0.0331,0.9897,0.1899,0.9584
213,0.0329,0.9897,0.1899,0.9584
214,0.0329,0.9897,0.1902,0.9584
215,0.0328,0.9897,0.1902,0.9585
216,0.0327,0.9898,0.1901,0.9585
217,0.0326,0.9898,0.1899,0.9585
218,0.0324,0.9899,0.1898,0.9586
219,0.0323,0.9899,0.1896,0.9586
220,0.0321,0.9900,0.1895,0.9587
221,0.0320,0.9900,0.1893,0.9587
222,0.0318,0.9901,0.1892,0.9588
223,0.0317,0.9901,0.1891,0.9588
224,0.0316,0.9901,0.1889,0.9589
225,0.0314,0.9902,0.1888,0.9589
226,0.0313,0.9902,0.1887,0.9589
227,0.0311,0.9903,0.1885,0.9590
228,0.0310,0.9903,0.1884,0.9590
229,0.0309,0.9904,0.1883,0.9591
230,0.0307,0.9904,0.1882,0.9591
231,0.0306,0.9904,0.1881,0.9591
232,0.0306,0.9905,0.1882,0.9592
233,0.0305,0.9905,0.1880,0.9592
234,0.0303,0.9905,0.1885,0.9591
235,0.0302,0.9906,0.1884,0.9592
236,0.0301,0.9906,0.1883,0.9592
237,0.0300,0.9907,0.1882,0.9592
238,0.0298,0.9907,0.1881,0.9593
239,0.0297,0.9907,0.1879,0.9593
240,0.0296,0.9908,0.1878,0.9593
241,0.0295,0.9908,0.1877,0.9594
242,0.0293,0.9908,0.1876,0.9594
243,0.0292,0.9909,0.1875,0.9594
244,0.0291,0.9909,0.1874,0.9595
